ID,APOYO_ALIMENTOS ,SEXO ,AÑO ACTUAL,AÑO,EDAD,ESTUDIOS ,C.P 
680,0,F,14/07/2022,1963,59,PRIMARIA,96535
703,1,F,14/07/2022,1944,78,PREPARATORIA,96535
688,0,F,14/07/2022,1986,36,SIN ESCOLARIDAD,96535
692,1,F,14/07/2022,1971,51,PRIMARIA,96535
695,0,F,14/07/2022,1993,29,PREPARATORIA,96535
696,0,F,14/07/2022,1975,47,PREPARATORIA,96535
697,1,F,14/07/2022,1945,77,PRIMARIA,96535
700,1,F,14/07/2022,1963,59,PRIMARIA,96535
701,1,F,14/07/2022,1945,77,PRIMARIA,96535
704,1,F,14/07/2022,1971,51,SECUNDARIA,96535
724,1,F,14/07/2022,1959,63,SIN ESCOLARIDAD,
710,1,F,14/07/2022,1998,24,SIN ESCOLARIDAD,96535
725,0,M,14/07/2022,1964,58,PREPARATORIA,96535
735,1,F,14/07/2022,1971,51,PREPARATORIA,96535
736,1,F,14/07/2022,1962,60,PRIMARIA,96535
740,0,F,14/07/2022,1993,29,PREPARATORIA,96535
741,0,F,14/07/2022,1990,32,SECUNDARIA,96535
746,1,F,14/07/2022,1964,58,PRIMARIA,96535
747,1,M,14/07/2022,1968,54,SECUNDARIA,96535
748,0,M,14/07/2022,1968,54,UNIVERSIDAD ,96535
749,0,F,14/07/2022,1991,31,SECUNDARIA,96535
758,1,F,14/07/2022,1980,42,SECUNDARIA,96535
759,1,F,14/07/2022,1975,47,PRIMARIA,96535
760,1,M,14/07/2022,1989,33,PRIMARIA,96535
767,1,F,14/07/2022,1991,31,PRIMARIA,96535
771,0,F,14/07/2022,1992,30,PREPARATORIA,96535
773,1,F,14/07/2022,1971,51,PRIMARIA,96535
774,0,F,14/07/2022,1972,50,PREPARATORIA,96535
778,1,F,14/07/2022,2002,20,PRIMARIA,96535
805,1,M,14/07/2022,1961,61,PRIMARIA,96535
820,1,F,14/07/2022,1988,34,PRIMARIA,96535
821,1,F,14/07/2022,1990,32,PRIMARIA,96535
779,1,M,14/07/2022,1989,33,PRIMARIA,96535
784,0,M,14/07/2022,1983,39,SECUNDARIA,96535
785,0,F,14/07/2022,1978,44,SECUNDARIA,96535
786,1,F,14/07/2022,1976,46,PRIMARIA,96535
803,1,F,14/07/2022,1983,39,PRIMARIA,96535
808,1,F,14/07/2022,1956,66,PRIMARIA,96535
813,1,F,14/07/2022,1982,40,SECUNDARIA,96535
823,0,F,14/07/2022,1971,51,PREPARATORIA,96535
826,1,F,14/07/2022,1975,47,SIN ESCOLARIDAD,96535
827,1,F,14/07/2022,1955,67,SECUNDARIA,96535
832,0,F,14/07/2022,1974,48,PREPARATORIA,96535
833,1,F,14/07/2022,1975,47,PRIMARIA,96535
840,1,F,14/07/2022,1953,69,SIN ESCOLARIDAD,96535
841,1,F,14/07/2022,1959,63,SECUNDARIA,96535
842,0,F,14/07/2022,1975,47,SECUNDARIA,96535
843,0,F,14/07/2022,1983,39,UNIVERDAD,96535
844,1,F,14/07/2022,1975,47,SIN ESCOLARIDAD,96535
845,1,F,14/07/2022,1955,67,PRIMARIA,96535
846,1,M,14/07/2022,1969,53,PRIMARIA,96535
847,1,F,14/07/2022,1970,52,SIN ESCOLARIDAD,96535
848,0,F,14/07/2022,1992,30,SECUNDARIA,96535
849,1,F,14/07/2022,1970,52,PRIMARIA,96535
1401,1,M,14/07/2022,1984,38,SECUNDARIA,
1402,1,F,14/07/2022,1948,74,SECUNDARIA,
1403,1,F,14/07/2022,1981,41,SIN ESCOLARIDAD,
850,1,F,14/07/2022,1963,59,SECUNDARIA,96535
857,0,F,14/07/2022,1976,46,PRIMARIA,96535
859,1,F,14/07/2022,1953,69,PRIMARIA,96535
861,1,F,14/07/2022,1956,66,SIN ESCOLARIDAD,96535
863,1,F,14/07/2022,1973,49,PRIMARIA,96535
864,1,F,14/07/2022,1955,67,SECUNDARIA,96535
873,1,F,14/07/2022,1967,55,PRIMARIA,96535
877,1,M,14/07/2022,1952,70,SECUNDARIA,96535
883,0,F,14/07/2022,1988,34,SECUNDARIA,96535
884,1,F,14/07/2022,1974,48,PRIMARIA,96535
897,1,M,14/07/2022,1972,50,SECUNDARIA,96535
907,1,F,14/07/2022,1962,60,SECUNDARIA,96535
913,1,F,14/07/2022,1980,42,PRIMARIA,96535
925,1,M,14/07/2022,1965,57,SECUNDARIA,96535
926,1,M,14/07/2022,1996,26,SIN ESCOLARIDAD,96535
939,1,F,14/07/2022,1963,59,PREPARATORIA,96535
971,1,F,14/07/2022,1994,28,PRIMARIA,96535
1012,0,F,14/07/2022,1977,45,PREPARATORIA,96535
1023,1,F,14/07/2022,1981,41,PRIMARIA,96535
1037,1,M,14/07/2022,1987,35,PRIMARIA,96535
1039,1,F,14/07/2022,1959,63,PRIMARIA,96535
1045,0,M,14/07/2022,1979,43,SECUNDARIA,96535
1047,0,F,14/07/2022,1989,33,SECUNDARIA,96535
862,1,F,14/07/2022,1949,73,PRIMARIA,96535
1106,0,F,14/07/2022,1988,34,SECUNDARIA,96535
1123,1,F,14/07/2022,1975,47,PRIMARIA,96535
1149,1,F,14/07/2022,1981,41,PRIMARIA,96535
1049,0,F,14/07/2022,1982,40,SECUNDARIA,96535
1061,0,M,14/07/2022,1972,50,PREPARATORIA,96535
1064,,F,14/07/2022,1975,47,SIN ESCOLARIDAD,96535
1067,,M,14/07/2022,1947,75,PRIMARIA,96535
1071,,M,14/07/2022,1979,43,PRIMARIA,96535
1072,,M,14/07/2022,1975,47,PRIMARIA,96535
1077,,F,14/07/2022,1975,47,UNIVESRIDAD,96535
1112,,F,14/07/2022,1974,48,PRIMARIA,96535
1113,,F,14/07/2022,1971,51,PREPARATORIA,96535
1114,,F,14/07/2022,1961,61,SECUNDARIA,96535
1124,,F,14/07/2022,1997,25,UNIVERSIDAD,96535
1134,,F,14/07/2022,1958,64,PRIMARIA,96535
1141,,F,14/07/2022,1963,59,SECUNDARIA ,96535
1173,,F,14/07/2022,1964,58,PRIMARIA,96536
1174,,F,14/07/2022,1995,27,PRIMARIA ,96535
1183,,F,14/07/2022,1995,27,PRIMARIA,96535
1196,,F,14/07/2022,1955,67,SECUNDARIA,96535
1212,,M,14/07/2022,1992,30,SECUNDARIA,96535
1230,,M,14/07/2022,1959,63,PRIMARIA,96535
1231,,F,14/07/2022,1974,48,SECUNDARIA,96535
1232,,F,14/07/2022,1984,38,SECUNDARIA,96535
1249,,F,14/07/2022,1990,32,PRIMARIA,96535
1251,,F,14/07/2022,1994,28,SIN ESCOLARIDAD,96535
1252,,F,14/07/2022,1963,59,PREPARATORIA,96535
1255,,F,14/07/2022,1959,63,PRIMARIA,96535
1257,,F,14/07/2022,1983,39,PRIMARIA,96535
1268,,F,14/07/2022,1976,46,PREPARATORIA,96535
1395,,M,14/07/2022,1964,58,PREPARATORIA, 
1323,,F,14/07/2022,1981,41,SIN ESCOLARIDAD,96535
1269,,F,14/07/2022,1990,32,SECUNDARIA,96535
1273,,F,14/07/2022,1990,32,SECUNDARIA,96535
1275,,F,14/07/2022,1972,50,SECUNDARIA,96535
1278,,F,14/07/2022,1973,49,SECUNDARIA,96535
1282,,F,14/07/2022,1966,56,SECUNDARIA,96535
1290,,F,14/07/2022,1963,59,PRIMARIA,96535
1293,,F,14/07/2022,1991,31,BACHILLERATO,96535
1294,,F,14/07/2022,1990,32,PRIMARIA,96535
1299,,F,14/07/2022,1964,58,SECUNDARIA,96535
1303,,F,14/07/2022,1966,56,SIN ESCOLARIDAD,96535
1315,,M,14/07/2022,1964,58,SECUNDARIA,96535
1324,,F,14/07/2022,1992,30,SIN ESCOLARIDAD,96535
1326,,F,14/07/2022,1965,57,SECUNDARIA,96535
1327,,F,14/07/2022,1979,43,PREPARATORIA,96535
1329,,F,14/07/2022,1985,37,SECUNDARIA,96535
1330,,F,14/07/2022,1973,49,PRIMARIA,96535
1334,,F,14/07/2022,1970,52,SECUNDARIA,96535
1335,,F,14/07/2022,1942,80,SIN ESCOLARIDAD,96535
1338,,F,14/07/2022,1983,39,PREPARATORIA ,96535
1359,,F,14/07/2022,1963,59,PRIMARIA, 
628,,F,14/07/2022,1981,41,PRIMARIA,96536
630,,F,14/07/2022,1975,47,PRIMARIA,96536
408,,F,14/07/2022,1970,52,SIN ESTUDIOS,96536
433,,,14/07/2022,1976,46,PRIMARIA,
438,,,14/07/2022,1986,36,PREPARATORIA ,
716,,F,14/07/2022,1983,39,SECUNDARIA ,96536
994,,F,14/07/2022,1958,64,PRIMARIA,96536
1040,,F,14/07/2022,1950,72,PRIMARIA,96536
1050,,F,14/07/2022,1968,54,SECUNDARIA,96536
1156,,F,14/07/2022,1949,73,SIN ESCOLARIDAD ,96536
1288,,F,14/07/2022,1963,59,SIN ESCOLARIDAD,96536
705,,F,14/07/2022,1956,66,SECUNDARIA,96536
757,,F,14/07/2022,1984,38,PRIMARIA,96536
898,,M,14/07/2022,1975,47,PRIMARIA,96536
698,,F,14/07/2022,1967,55,COMERCIO,96536
756,,F,14/07/2022,1963,59,PRIMARIA,96536
993,,F,14/07/2022,1986,36,PRIMARIA,96536
1289,,F,14/07/2022,1990,32,PREPARATORIA,96536
715,,F,14/07/2022,1979,43,PRIMARIA,96536
995,,F,14/07/2022,1976,46,PRIMARIA,96536
154,,F,14/07/2022,1989,33,PRIMARIA,96536
794,,F,14/07/2022,1972,50,PREPARATORIA,96536
592,,M,14/07/2022,1954,68,PRIMARIA,96536
608,,F,14/07/2022,1953,69,PRIMARIA,96536
609,,F,14/07/2022,1970,52,PRIMARIA,96536
1014,,F,14/07/2022,1961,61,PRIMARIA,96536
429,,F,14/07/2022,1971,51,PRIMARIA,96536
436,,F,14/07/2022,1972,50,PRIMARIA,96536
1021,,F,14/07/2022,1977,45,PRIMARIA,96536
1036,,F,14/07/2022,1977,45,PRIMARIA,96536
1042,,F,14/07/2022,1979,43,SIN ESCOLARIDAD,96536
1043,,F,14/07/2022,1952,70,SECUNDARIA,96536
1051,,F,14/07/2022,1957,65,PRIMARIA,96536
1052,,F,14/07/2022,1952,70,SIN ESCOLARIDAD,96536
1082,,F,14/07/2022,1972,50,PRIMARIA,96536
1127,,F,14/07/2022,1976,46,SECUNDARIA,96536
1128,,F,14/07/2022,1945,77,PREPARATORIA,96536
1137,,F,14/07/2022,1966,56,SECUNDARIA,96536
1180,,F,14/07/2022,1952,70,PREPARATORIA,96536
1182,,F,14/07/2022,1967,55,SECUNDARIA,96536
1184,,F,14/07/2022,1995,27,SECUNDARIA,96536
1185,,F,14/07/2022,52 AÑOS,52,PRIMARIA,96536
1192,,F,14/07/2022,1966,56,SECUNDARIA,96536
1195,,M,14/07/2022,1969,53,SIN ESCOLARIDAD,96536
1201,,F,14/07/2022,1965,57,PRIMARIA,96536
1202,,F,14/07/2022,1960,62,PRIMARIA,96536
1253,,F,14/07/2022,1968,54,PRIMARIA,96536
1343,,F,14/07/2022,1969,53,PRIMARIA,96536
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
